count,year,month,day,date,dayow
64633,2013,11,25,2013-11-25T00:00:00Z,1
66721,2013,11,26,2013-11-26T00:00:00Z,2
71251,2013,11,27,2013-11-27T00:00:00Z,3
44944,2013,11,28,2013-11-28T00:00:00Z,4
54747,2013,11,29,2013-11-29T00:00:00Z,5
74107,2013,11,30,2013-11-30T00:00:00Z,6
66230,2013,12,1,2013-12-01T00:00:00Z,0
79210,2013,12,2,2013-12-02T00:00:00Z,1
80784,2013,12,3,2013-12-03T00:00:00Z,2
81456,2013,12,4,2013-12-04T00:00:00Z,3
94959,2013,12,5,2013-12-05T00:00:00Z,4
113662,2013,12,6,2013-12-06T00:00:00Z,5
111696,2013,12,7,2013-12-07T00:00:00Z,6
81741,2013,12,8,2013-12-08T00:00:00Z,0
81897,2013,12,9,2013-12-09T00:00:00Z,1
83430,2013,12,10,2013-12-10T00:00:00Z,2
86336,2013,12,11,2013-12-11T00:00:00Z,3
97115,2013,12,12,2013-12-12T00:00:00Z,4
111330,2013,12,13,2013-12-13T00:00:00Z,5
109783,2013,12,14,2013-12-14T00:00:00Z,6
82020,2013,12,15,2013-12-15T00:00:00Z,0
77037,2013,12,16,2013-12-16T00:00:00Z,1
79911,2013,12,17,2013-12-17T00:00:00Z,2
85561,2013,12,18,2013-12-18T00:00:00Z,3
91589,2013,12,19,2013-12-19T00:00:00Z,4
103965,2013,12,20,2013-12-20T00:00:00Z,5
92347,2013,12,21,2013-12-21T00:00:00Z,6
65710,2013,12,22,2013-12-22T00:00:00Z,0
68035,2013,12,23,2013-12-23T00:00:00Z,1
42297,2013,12,24,2013-12-24T00:00:00Z,2
18296,2013,12,25,2013-12-25T00:00:00Z,3
41022,2013,12,26,2013-12-26T00:00:00Z,4
62051,2013,12,27,2013-12-27T00:00:00Z,5
71089,2013,12,28,2013-12-28T00:00:00Z,6
70994,2013,12,29,2013-12-29T00:00:00Z,0
70278,2013,12,30,2013-12-30T00:00:00Z,1
93093,2013,12,31,2013-12-31T00:00:00Z,2
76388,2014,1,1,2014-01-01T00:00:00Z,3
55209,2014,1,2,2014-01-02T00:00:00Z,4
72355,2014,1,3,2014-01-03T00:00:00Z,5
68768,2014,1,4,2014-01-04T00:00:00Z,6
51618,2014,1,5,2014-01-05T00:00:00Z,0
49524,2014,1,6,2014-01-06T00:00:00Z,1
59377,2014,1,7,2014-01-07T00:00:00Z,2
70306,2014,1,8,2014-01-08T00:00:00Z,3
76979,2014,1,9,2014-01-09T00:00:00Z,4
88005,2014,1,10,2014-01-10T00:00:00Z,5
84168,2014,1,11,2014-01-11T00:00:00Z,6
68066,2014,1,12,2014-01-12T00:00:00Z,0
62668,2014,1,13,2014-01-13T00:00:00Z,1
68832,2014,1,14,2014-01-14T00:00:00Z,2
74096,2014,1,15,2014-01-15T00:00:00Z,3
79930,2014,1,16,2014-01-16T00:00:00Z,4
95983,2014,1,17,2014-01-17T00:00:00Z,5
92674,2014,1,18,2014-01-18T00:00:00Z,6
75963,2014,1,19,2014-01-19T00:00:00Z,0
56739,2014,1,20,2014-01-20T00:00:00Z,1
67994,2014,1,21,2014-01-21T00:00:00Z,2
74808,2014,1,22,2014-01-22T00:00:00Z,3
84396,2014,1,23,2014-01-23T00:00:00Z,4
96679,2014,1,24,2014-01-24T00:00:00Z,5
93862,2014,1,25,2014-01-25T00:00:00Z,6
68568,2014,1,26,2014-01-26T00:00:00Z,0
64335,2014,1,27,2014-01-27T00:00:00Z,1
65867,2014,1,28,2014-01-28T00:00:00Z,2
73800,2014,1,29,2014-01-29T00:00:00Z,3
77422,2014,1,30,2014-01-30T00:00:00Z,4
92177,2014,1,31,2014-01-31T00:00:00Z,5
84713,2014,2,1,2014-02-01T00:00:00Z,6
70645,2014,2,2,2014-02-02T00:00:00Z,0
68555,2014,2,3,2014-02-03T00:00:00Z,1
69812,2014,2,4,2014-02-04T00:00:00Z,2
69672,2014,2,5,2014-02-05T00:00:00Z,3
88221,2014,2,6,2014-02-06T00:00:00Z,4
101344,2014,2,7,2014-02-07T00:00:00Z,5
95473,2014,2,8,2014-02-08T00:00:00Z,6
70341,2014,2,9,2014-02-09T00:00:00Z,0
71416,2014,2,10,2014-02-10T00:00:00Z,1
74955,2014,2,11,2014-02-11T00:00:00Z,2
76463,2014,2,12,2014-02-12T00:00:00Z,3
83117,2014,2,13,2014-02-13T00:00:00Z,4
103128,2014,2,14,2014-02-14T00:00:00Z,5
102311,2014,2,15,2014-02-15T00:00:00Z,6
79792,2014,2,16,2014-02-16T00:00:00Z,0
55573,2014,2,17,2014-02-17T00:00:00Z,1
70969,2014,2,18,2014-02-18T00:00:00Z,2
75921,2014,2,19,2014-02-19T00:00:00Z,3
91702,2014,2,20,2014-02-20T00:00:00Z,4
105706,2014,2,21,2014-02-21T00:00:00Z,5
100849,2014,2,22,2014-02-22T00:00:00Z,6
75912,2014,2,23,2014-02-23T00:00:00Z,0
69161,2014,2,24,2014-02-24T00:00:00Z,1
